Region,Count
132,2109
170,6071
133,689
68,5054
48,5613
87,2690
224,2027
140,2185
213,86
144,3954
107,5920
158,2682
79,11496
263,2702
233,2843
161,4146
21,556
100,2466
211,2405
231,4069
188,1293
229,3048
230,3475
141,3285
239,2554
261,985
125,1459
36,2814
209,922
255,5642
165,590
17,3456
148,6474
61,4478
97,2314
35,625
12,40
62,940
85,401
89,1879
181,3316
113,3881
45,1421
49,2646
123,401
246,3302
256,4508
189,1407
237,2546
7,2116
90,3503
149,289
257,496
217,596
227,445
112,3247
80,3679
40,647
25,1562
234,6569
22,589
225,2703
249,4544
178,223
155,310
106,857
114,4001
14,728
26,653
13,1418
171,168
150,166
29,323
50,2356
236,2167
130,431
37,3945
137,3730
162,4003
262,1672
28,265
4,2113
232,2071
193,229
186,3458
34,178
108,168
160,191
238,1953
9,56
33,1477
142,2776
70,355
151,929
164,4790
166,1404
138,1946
143,1535
226,1488
163,2913
88,896
179,588
152,582
129,932
145,1642
75,1407
72,489
74,1283
92,590
43,660
66,980
228,831
212,82
41,1280
194,29
52,359
65,1179
195,741
190,278
76,1168
177,648
71,573
54,294
77,326
63,270
39,746
10,260
135,219
192,188
215,280
134,180
91,675
219,149
203,144
175,100
42,1026
116,639
216,289
198,678
244,895
260,655
-1,290
169,136
24,617
167,106
247,230
146,522
83,325
243,624
210,327
185,73
115,19
206,17
197,263
251,14
245,14
221,27
222,68
102,128
93,333
117,33
173,99
196,350
81,38
82,783
95,694
223,970
86,51
241,150
147,37
38,53
168,257
242,94
15,33
55,251
124,99
252,95
156,40
98,114
235,143
69,210
11,266
67,279
258,278
180,120
73,113
118,27
121,289
56,276
127,159
96,38
202,102
157,220
207,19
19,40
176,1
18,134
126,131
53,99
220,140
20,156
205,169
154,56
218,183
159,140
16,117
122,35
119,148
131,93
47,66
200,41
248,105
254,82
136,79
259,20
60,74
174,60
201,9
199,2
139,120
208,46
153,22
128,7
51,52
182,67
214,7
78,73
94,73
8,11
3,62
31,26
253,17
6,23
23,32
191,99
30,4
32,127
240,34
120,27
59,7
184,14
64,18
183,24
5,3
111,21
58,4
250,39
172,5
187,6
204,1
46,4
109,1
27,3
44,1
2,2
