Region,Count
234,24046
79,24813
-1,19727
107,14469
158,16133
249,19094
112,9110
148,15092
231,23290
170,17627
237,13791
90,12972
256,9409
25,3971
162,16410
230,16977
161,25783
142,10759
255,13516
228,1925
1,5818
163,17394
68,18800
209,3619
45,2579
229,8740
246,15668
144,15473
48,15818
141,10098
232,4308
151,2976
50,8263
166,2747
143,6657
236,9719
43,3138
132,20542
202,278
181,8794
238,7061
226,2366
125,7922
4,5761
114,12003
211,14110
262,5593
97,4688
87,10041
76,389
7,4210
61,5481
106,2106
137,6663
263,7629
75,2614
239,10386
233,8811
89,1924
186,12145
179,1241
121,327
113,13366
65,3516
138,17397
24,1216
33,4814
145,5215
49,5395
100,10402
217,436
140,6515
164,16587
129,1279
36,4229
261,4383
88,4042
160,425
80,6834
95,1880
66,3883
13,8284
189,3151
41,3259
224,4818
155,289
17,4716
223,2336
152,939
70,637
139,55
216,359
188,1911
53,129
195,2499
173,130
52,1409
14,1437
220,619
194,393
74,2550
123,279
21,267
157,453
92,732
40,2529
260,798
83,321
253,104
130,480
243,1596
126,130
225,3250
205,138
28,306
127,533
213,187
248,62
37,5748
62,1152
102,272
240,75
47,99
175,108
82,593
91,498
191,155
192,234
208,156
196,462
42,2797
252,273
9,86
244,2272
93,2117
198,996
29,177
116,1656
16,237
149,255
201,71
219,146
257,1128
12,230
135,315
133,666
119,377
78,121
207,31
77,116
247,838
136,98
124,192
131,188
171,235
10,255
72,390
146,1071
56,383
15,121
168,404
22,345
200,562
250,111
34,639
20,351
241,178
69,236
39,344
259,92
215,84
71,376
54,764
178,191
134,413
85,269
94,56
227,423
177,445
35,225
73,101
193,241
58,33
185,217
183,63
210,235
64,106
150,197
55,442
203,80
11,140
154,45
182,87
101,84
212,82
190,469
156,21
165,377
86,53
26,362
180,143
51,132
242,214
174,200
38,44
32,83
147,45
222,59
67,427
46,32
18,161
31,170
27,43
218,71
117,65
108,113
23,20
98,105
128,70
19,75
159,127
8,38
197,294
184,56
118,16
169,126
167,83
235,104
258,242
214,19
221,42
63,116
251,17
111,27
172,3
3,116
254,109
153,97
206,18
96,58
5,2
122,31
81,45
115,15
6,23
120,26
60,65
245,19
44,2
109,3
176,2
84,1
187,4
59,6
99,1
30,1
2,2
204,1
