Date/Time,Count
08/01/2014 00:00,702
08/01/2014 01:00,435
08/01/2014 02:00,281
08/01/2014 03:00,311
08/01/2014 04:00,395
08/01/2014 05:00,592
08/01/2014 06:00,917
08/01/2014 07:00,1285
08/01/2014 08:00,1321
08/01/2014 09:00,1132
08/01/2014 10:00,1083
08/01/2014 11:00,1053
08/01/2014 12:00,1058
08/01/2014 13:00,1363
08/01/2014 14:00,1547
08/01/2014 15:00,1849
08/01/2014 16:00,2085
08/01/2014 17:00,2187
08/01/2014 18:00,2150
08/01/2014 19:00,2087
08/01/2014 20:00,1886
08/01/2014 21:00,1966
08/01/2014 22:00,2169
08/01/2014 23:00,1754
08/02/2014 00:00,1266
08/02/2014 01:00,954
08/02/2014 02:00,623
08/02/2014 03:00,520
08/02/2014 04:00,401
08/02/2014 05:00,414
08/02/2014 06:00,454
08/02/2014 07:00,543
08/02/2014 08:00,701
08/02/2014 09:00,778
08/02/2014 10:00,834
08/02/2014 11:00,927
08/02/2014 12:00,1025
08/02/2014 13:00,1076
08/02/2014 14:00,1328
08/02/2014 15:00,1590
08/02/2014 16:00,1676
08/02/2014 17:00,1708
08/02/2014 18:00,1890
08/02/2014 19:00,1806
08/02/2014 20:00,1771
08/02/2014 21:00,1885
08/02/2014 22:00,2031
08/02/2014 23:00,1718
08/03/2014 00:00,1489
08/03/2014 01:00,1059
08/03/2014 02:00,712
08/03/2014 03:00,553
08/03/2014 04:00,306
08/03/2014 05:00,312
08/03/2014 06:00,318
08/03/2014 07:00,445
08/03/2014 08:00,539
08/03/2014 09:00,716
08/03/2014 10:00,969
08/03/2014 11:00,1088
08/03/2014 12:00,1087
08/03/2014 13:00,1119
08/03/2014 14:00,1252
08/03/2014 15:00,1370
08/03/2014 16:00,1544
08/03/2014 17:00,1514
08/03/2014 18:00,1283
08/03/2014 19:00,1210
08/03/2014 20:00,1230
08/03/2014 21:00,1096
08/03/2014 22:00,837
08/03/2014 23:00,550
08/04/2014 00:00,301
08/04/2014 01:00,163
08/04/2014 02:00,120
08/04/2014 03:00,286
08/04/2014 04:00,411
08/04/2014 05:00,680
08/04/2014 06:00,1084
08/04/2014 07:00,1389
08/04/2014 08:00,1328
08/04/2014 09:00,996
08/04/2014 10:00,991
08/04/2014 11:00,967
08/04/2014 12:00,897
08/04/2014 13:00,1079
08/04/2014 14:00,1257
08/04/2014 15:00,1399
08/04/2014 16:00,1676
08/04/2014 17:00,1870
08/04/2014 18:00,1710
08/04/2014 19:00,1534
08/04/2014 20:00,1499
08/04/2014 21:00,1259
08/04/2014 22:00,931
08/04/2014 23:00,601
08/05/2014 00:00,297
08/05/2014 01:00,179
08/05/2014 02:00,130
08/05/2014 03:00,211
08/05/2014 04:00,335
08/05/2014 05:00,618
08/05/2014 06:00,988
08/05/2014 07:00,1406
08/05/2014 08:00,1378
08/05/2014 09:00,1088
08/05/2014 10:00,1027
08/05/2014 11:00,1090
08/05/2014 12:00,1045
08/05/2014 13:00,1146
08/05/2014 14:00,1461
08/05/2014 15:00,1650
08/05/2014 16:00,1930
08/05/2014 17:00,2178
08/05/2014 18:00,2004
08/05/2014 19:00,1845
08/05/2014 20:00,1885
08/05/2014 21:00,1704
08/05/2014 22:00,1250
08/05/2014 23:00,730
08/06/2014 00:00,366
08/06/2014 01:00,210
08/06/2014 02:00,175
08/06/2014 03:00,257
08/06/2014 04:00,405
08/06/2014 05:00,693
08/06/2014 06:00,1111
08/06/2014 07:00,1496
08/06/2014 08:00,1447
08/06/2014 09:00,1170
08/06/2014 10:00,1087
08/06/2014 11:00,1158
08/06/2014 12:00,1125
