Date/Time,Count
09/01/2014 00:00,665
09/01/2014 01:00,471
09/01/2014 02:00,357
09/01/2014 03:00,328
09/01/2014 04:00,256
09/01/2014 05:00,273
09/01/2014 06:00,324
09/01/2014 07:00,412
09/01/2014 08:00,540
09/01/2014 09:00,730
09/01/2014 10:00,830
09/01/2014 11:00,953
09/01/2014 12:00,995
09/01/2014 13:00,1096
09/01/2014 14:00,1193
09/01/2014 15:00,1297
09/01/2014 16:00,1441
09/01/2014 17:00,1311
09/01/2014 18:00,1212
09/01/2014 19:00,1211
09/01/2014 20:00,1162
09/01/2014 21:00,1028
09/01/2014 22:00,804
09/01/2014 23:00,500
09/02/2014 00:00,204
09/02/2014 01:00,111
09/02/2014 03:00,269
09/02/2014 04:00,496
09/02/2014 05:00,842
09/02/2014 06:00,1244
09/02/2014 07:00,1549
09/02/2014 08:00,1692
09/02/2014 09:00,1232
09/02/2014 10:00,1137
09/02/2014 11:00,1113
09/02/2014 12:00,1161
09/02/2014 13:00,1263
09/02/2014 14:00,1361
09/02/2014 15:00,1684
09/02/2014 16:00,2003
09/02/2014 17:00,2120
09/02/2014 18:00,1925
09/02/2014 19:00,1732
09/02/2014 20:00,1738
09/02/2014 21:00,1488
09/02/2014 22:00,1100
09/02/2014 23:00,688
09/03/2014 00:00,279
09/03/2014 01:00,144
09/03/2014 02:00,114
09/03/2014 03:00,202
09/03/2014 04:00,353
09/03/2014 05:00,744
09/03/2014 06:00,1360
09/03/2014 07:00,1653
09/03/2014 08:00,1640
09/03/2014 09:00,1371
09/03/2014 10:00,1210
09/03/2014 11:00,1154
09/03/2014 12:00,1177
09/03/2014 13:00,1354
09/03/2014 14:00,1597
09/03/2014 15:00,2003
09/03/2014 16:00,2304
09/03/2014 17:00,2428
09/03/2014 18:00,2349
09/03/2014 19:00,2159
09/03/2014 20:00,2174
09/03/2014 21:00,1887
09/03/2014 22:00,1528
09/03/2014 23:00,911
09/04/2014 00:00,482
09/04/2014 01:00,264
09/04/2014 02:00,177
09/04/2014 03:00,242
09/04/2014 04:00,375
09/04/2014 05:00,750
09/04/2014 06:00,1346
09/04/2014 07:00,1715
09/04/2014 08:00,1782
09/04/2014 09:00,1437
09/04/2014 10:00,1360
09/04/2014 11:00,1384
09/04/2014 12:00,1383
09/04/2014 13:00,1504
09/04/2014 14:00,1830
09/04/2014 15:00,2295
09/04/2014 16:00,2460
09/04/2014 17:00,2694
09/04/2014 18:00,3039
09/04/2014 19:00,2767
09/04/2014 20:00,2581
09/04/2014 21:00,2397
09/04/2014 22:00,2029
09/04/2014 23:00,1386
09/05/2014 00:00,629
09/05/2014 01:00,352
09/05/2014 02:00,228
09/05/2014 03:00,296
09/05/2014 04:00,461
09/05/2014 05:00,820
09/05/2014 06:00,1306
09/05/2014 07:00,1667
09/05/2014 08:00,1836
09/05/2014 09:00,1579
09/05/2014 10:00,1465
09/05/2014 11:00,1408
09/05/2014 12:00,1423
09/05/2014 13:00,1678
09/05/2014 14:00,2019
09/05/2014 15:00,2294
09/05/2014 16:00,2610
09/05/2014 17:00,2905
09/05/2014 18:00,3101
09/05/2014 19:00,3125
09/05/2014 20:00,2695
09/05/2014 21:00,2741
09/05/2014 22:00,2693
09/05/2014 23:00,2253
09/06/2014 00:00,1669
09/06/2014 01:00,1095
09/06/2014 02:00,684
09/06/2014 03:00,463
09/06/2014 04:00,334
09/06/2014 05:00,338
09/06/2014 06:00,512
09/06/2014 07:00,689
09/06/2014 08:00,934
09/06/2014 09:00,1059
09/06/2014 10:00,1258
09/06/2014 11:00,1432
09/06/2014 12:00,1566
09/06/2014 13:00,1842
09/06/2014 14:00,2090
09/06/2014 15:00,2373
09/06/2014 16:00,2513
09/06/2014 17:00,2713
09/06/2014 18:00,2795
09/06/2014 19:00,2687
09/06/2014 20:00,2373
09/06/2014 21:00,2596
09/06/2014 22:00,2916
09/06/2014 23:00,2584
09/07/2014 00:00,1760
09/07/2014 01:00,1165
09/07/2014 02:00,792
09/07/2014 03:00,546
09/07/2014 04:00,322
09/07/2014 05:00,346
09/07/2014 06:00,382
09/07/2014 07:00,555
09/07/2014 08:00,790
09/07/2014 09:00,993
09/07/2014 10:00,1183
09/07/2014 11:00,1338
09/07/2014 12:00,1445
09/07/2014 13:00,1592
09/07/2014 14:00,1764
09/07/2014 15:00,1935
09/07/2014 16:00,2093
09/07/2014 17:00,1987
09/07/2014 18:00,1872
09/07/2014 19:00,1659
09/07/2014 20:00,1582
09/07/2014 21:00,1422
09/07/2014 22:00,1141
09/07/2014 23:00,623
09/08/2014 00:00,317
09/08/2014 01:00,199
09/08/2014 02:00,153
09/08/2014 03:00,351
09/08/2014 04:00,486
09/08/2014 05:00,877
09/08/2014 06:00,1189
09/08/2014 07:00,1644
09/08/2014 08:00,1702
09/08/2014 09:00,1259
09/08/2014 10:00,1192
09/08/2014 11:00,1190
09/08/2014 12:00,1169
09/08/2014 13:00,1322
09/08/2014 14:00,1542
09/08/2014 15:00,1866
09/08/2014 16:00,2053
09/08/2014 17:00,2236
09/08/2014 18:00,2196
09/08/2014 19:00,1942
09/08/2014 20:00,1790
09/08/2014 21:00,1461
09/08/2014 22:00,1101
09/08/2014 23:00,582
09/09/2014 00:00,300
09/09/2014 01:00,190
09/09/2014 02:00,145
09/09/2014 03:00,238
09/09/2014 04:00,396
09/09/2014 05:00,808
09/09/2014 06:00,1408
09/09/2014 07:00,1745
09/09/2014 08:00,1757
09/09/2014 09:00,1307
09/09/2014 10:00,1265
09/09/2014 11:00,1266
09/09/2014 12:00,1293
09/09/2014 13:00,1614
09/09/2014 14:00,1990
09/09/2014 15:00,2202
09/09/2014 16:00,2208
09/09/2014 17:00,2586
09/09/2014 18:00,2658
09/09/2014 19:00,2350
09/09/2014 20:00,2151
09/09/2014 21:00,1874
09/09/2014 22:00,1397
09/09/2014 23:00,844
09/10/2014 00:00,419
09/10/2014 01:00,307
09/10/2014 02:00,177
09/10/2014 03:00,230
09/10/2014 04:00,387
09/10/2014 05:00,775
09/10/2014 06:00,1326
09/10/2014 07:00,1659
09/10/2014 08:00,1768
09/10/2014 09:00,1417
09/10/2014 10:00,1268
09/10/2014 11:00,1389
09/10/2014 12:00,1350
09/10/2014 13:00,1524
09/10/2014 14:00,1792
09/10/2014 15:00,2173
09/10/2014 16:00,2425
09/10/2014 17:00,2753
09/10/2014 18:00,2818
09/10/2014 19:00,2541
09/10/2014 20:00,2380
09/10/2014 21:00,2000
09/10/2014 22:00,1606
09/10/2014 23:00,876
09/11/2014 00:00,465
09/11/2014 01:00,292
09/11/2014 02:00,183
09/11/2014 03:00,269
09/11/2014 04:00,430
09/11/2014 05:00,322
09/11/2014 06:00,1014
09/11/2014 07:00,1526
09/11/2014 08:00,1719
09/11/2014 09:00,1381
09/11/2014 10:00,1229
09/11/2014 11:00,1295
09/11/2014 12:00,1298
09/11/2014 13:00,1545
09/11/2014 14:00,1863
09/11/2014 15:00,2166
09/11/2014 16:00,2560
09/11/2014 17:00,2829
09/11/2014 18:00,2871
09/11/2014 19:00,2688
09/11/2014 20:00,2504
09/11/2014 21:00,2382
09/11/2014 22:00,1772
09/11/2014 23:00,1198
09/12/2014 00:00,589
09/12/2014 01:00,376
09/12/2014 02:00,257
09/12/2014 03:00,324
09/12/2014 04:00,468
09/12/2014 05:00,792
09/12/2014 06:00,1264
09/12/2014 07:00,1641
09/12/2014 08:00,1718
09/12/2014 09:00,1370
09/12/2014 10:00,1327
09/12/2014 11:00,1259
09/12/2014 12:00,1293
09/12/2014 13:00,1514
09/12/2014 14:00,1671
09/12/2014 15:00,2032
09/12/2014 16:00,2287
09/12/2014 17:00,2642
09/12/2014 18:00,2859
09/12/2014 19:00,2858
09/12/2014 20:00,2508
09/12/2014 21:00,2652
09/12/2014 22:00,2705
09/12/2014 23:00,2359
09/13/2014 00:00,1753
09/13/2014 01:00,1162
09/13/2014 02:00,758
09/13/2014 03:00,512
09/13/2014 04:00,352
09/13/2014 05:00,400
09/13/2014 06:00,474
09/13/2014 07:00,640
09/13/2014 08:00,909
09/13/2014 09:00,1051
09/13/2014 10:00,1274
09/13/2014 11:00,1425
09/13/2014 12:00,1488
09/13/2014 13:00,1761
09/13/2014 14:00,2670
09/13/2014 15:00,2998
09/13/2014 16:00,2980
09/13/2014 17:00,2956
09/13/2014 18:00,3349
09/13/2014 19:00,3246
09/13/2014 20:00,2540
09/13/2014 21:00,2545
09/13/2014 22:00,2494
09/13/2014 23:00,2372
09/14/2014 00:00,1726
09/14/2014 01:00,1206
09/14/2014 02:00,840
09/14/2014 03:00,530
09/14/2014 04:00,350
09/14/2014 05:00,370
09/14/2014 06:00,409
09/14/2014 07:00,546
09/14/2014 08:00,751
09/14/2014 09:00,932
09/14/2014 10:00,1078
09/14/2014 11:00,1308
09/14/2014 12:00,1290
09/14/2014 13:00,1488
09/14/2014 14:00,1539
09/14/2014 15:00,1712
09/14/2014 16:00,1850
09/14/2014 17:00,1814
09/14/2014 18:00,1755
09/14/2014 19:00,1576
09/14/2014 20:00,1478
09/14/2014 21:00,1202
09/14/2014 22:00,983
09/14/2014 23:00,494
09/15/2014 00:00,254
09/15/2014 01:00,171
09/15/2014 02:00,157
09/15/2014 03:00,327
09/15/2014 04:00,540
09/15/2014 05:00,858
09/15/2014 06:00,1325
09/15/2014 07:00,1651
09/15/2014 08:00,1658
09/15/2014 09:00,1222
09/15/2014 10:00,1014
09/15/2014 11:00,1034
09/15/2014 12:00,1046
09/15/2014 13:00,1257
09/15/2014 14:00,1429
09/15/2014 15:00,1735
09/15/2014 16:00,2148
09/15/2014 17:00,2320
09/15/2014 18:00,2114
09/15/2014 19:00,1889
09/15/2014 20:00,1814
09/15/2014 21:00,1336
09/15/2014 22:00,1011
09/15/2014 23:00,558
09/16/2014 00:00,265
09/16/2014 01:00,137
09/16/2014 02:00,124
09/16/2014 03:00,214
09/16/2014 04:00,356
09/16/2014 05:00,770
09/16/2014 06:00,1626
09/16/2014 07:00,2259
09/16/2014 08:00,2477
09/16/2014 09:00,2001
09/16/2014 10:00,1784
09/16/2014 11:00,1344
09/16/2014 12:00,1243
09/16/2014 13:00,1386
09/16/2014 14:00,1727
09/16/2014 15:00,2095
09/16/2014 16:00,2511
09/16/2014 17:00,2708
09/16/2014 18:00,2557
09/16/2014 19:00,2258
09/16/2014 20:00,2095
09/16/2014 21:00,1762
09/16/2014 22:00,1203
09/16/2014 23:00,633
09/17/2014 00:00,357
09/17/2014 01:00,196
09/17/2014 02:00,155
09/17/2014 03:00,249
09/17/2014 04:00,426
09/17/2014 05:00,765
09/17/2014 06:00,1532
09/17/2014 07:00,1926
09/17/2014 08:00,1649
09/17/2014 09:00,1263
09/17/2014 10:00,1209
09/17/2014 11:00,1179
09/17/2014 12:00,1293
09/17/2014 13:00,1535
09/17/2014 14:00,1752
09/17/2014 15:00,2118
09/17/2014 16:00,2478
09/17/2014 17:00,2710
09/17/2014 18:00,2734
09/17/2014 19:00,2485
09/17/2014 20:00,2446
09/17/2014 21:00,2130
09/17/2014 22:00,1589
09/17/2014 23:00,828
09/18/2014 00:00,388
09/18/2014 01:00,239
09/18/2014 02:00,161
09/18/2014 03:00,263
09/18/2014 04:00,443
09/18/2014 05:00,835
09/18/2014 06:00,1404
09/18/2014 07:00,1874
09/18/2014 08:00,1792
09/18/2014 09:00,1320
09/18/2014 10:00,1251
09/18/2014 11:00,1300
09/18/2014 12:00,1281
09/18/2014 13:00,1574
09/18/2014 14:00,1833
09/18/2014 15:00,2241
09/18/2014 16:00,2645
09/18/2014 17:00,3090
09/18/2014 18:00,3194
09/18/2014 19:00,3168
09/18/2014 20:00,2839
09/18/2014 21:00,2800
09/18/2014 22:00,2229
09/18/2014 23:00,1437
09/19/2014 00:00,636
09/19/2014 01:00,423
09/19/2014 02:00,255
09/19/2014 03:00,363
09/19/2014 04:00,448
09/19/2014 05:00,768
09/19/2014 06:00,1380
09/19/2014 07:00,1766
09/19/2014 08:00,1743
09/19/2014 09:00,1358
09/19/2014 10:00,1301
09/19/2014 11:00,1287
09/19/2014 12:00,1332
09/19/2014 13:00,1537
09/19/2014 14:00,1880
09/19/2014 15:00,2228
09/19/2014 16:00,2480
09/19/2014 17:00,2838
09/19/2014 18:00,3159
09/19/2014 19:00,2898
09/19/2014 20:00,2585
09/19/2014 21:00,2688
09/19/2014 22:00,2645
09/19/2014 23:00,2253
09/20/2014 00:00,1646
09/20/2014 01:00,1107
09/20/2014 02:00,695
09/20/2014 03:00,493
09/20/2014 04:00,365
09/20/2014 05:00,356
09/20/2014 06:00,536
09/20/2014 07:00,724
09/20/2014 08:00,892
09/20/2014 09:00,1094
09/20/2014 10:00,1230
09/20/2014 11:00,1395
09/20/2014 12:00,1494
09/20/2014 13:00,1631
09/20/2014 14:00,1927
09/20/2014 15:00,2103
